Category,Subcategory,Name,Scientific name,Life list date,Life list location,CA obsv (RG 7.3.24),Bay obsv (RG 7.3.24),Bay peak month,CA peak month,Notes
Nudibranchs,Flabellinopsidae,Spanish Shawl,Flabellinopsis iodinea,#N/A,,"2,381",69,11,,
Lizards,Phrynosomatid Lizards,Southern Sagebrush Lizard,Sceloporus vandenburgianus,#N/A,,"2,367",0,,6,
Frogs & Toads,Typical Frogs,California Red-legged Frog,Rana draytonii,2023-09-17,US-CA,"2,337","1,644",,,
Lizards,Phrynosomatid Lizards,Common Sagebrush Lizard,Sceloporus graciosus,2025-05-10,US-CA,"2,329",205,,,
Dragonflies,Skimmers,Cardinal Meadowhawk,Sympetrum illotum,2023-08-17,US-CA,"2,322","1,521",,,
Flowering Plants,Lilies,Clay Mariposa Lily,Calochortus argillosus,2025-07-03,US-CA,"2,299","1,947",,,
Nudibranchs,Dendrodorididae,White-spotted Sea Goddess,Doriopsilla albopunctata,#N/A,,"2,289",459,6,,
Newts & Salamanders,Mole Salamanders,California Giant Salamander,Dicamptodon ensatus,2025-10-12,US-CA,"2,253","2,203",,,
Mammals,Canids,Island Fox,Urocyon littoralis,2024-06-16,US-CA,"2,235",0,,,
Butterflies,Checkerspots & Anglewings,Field Crescent,Phyciodes pulchella,2023-08-04,US-CA,"2,222","1,486",,,
Flowering Plants,Orchids,Western Rattlesnake Plantain,Goodyera oblongifolia,2024-08-03,US-CA,"2,218",532,,,
Lizards,Whiptails & Tegus,Orange-throated Whiptail,Aspidoscelis hyperythrus,#N/A,,"2,190",0,,5,
Flowering Plants,Lilies,Sierra Tiger Lily,Lilium parvum,2023-08-19,US-CA,"2,179",0,,,
Flowering Plants,Lilies,Oakland Mariposa Lily,Calochortus umbellatus,2025-03-24,US-CA,"2,148","2,147",,,
Butterflies,Checkerspots & Anglewings,Northern Checkerspot,Chlosyne palla,2024-05-05,US-CA,"2,142","1,413",,,
Mammals,Squirrels,Yellow-bellied Marmot,Marmota flaviventris,2025-05-21,US-CA,"2,110",0,,,Sierras/Eastern Sierras
Newts & Salamanders,Lungless Salamanders,Southern California Slender Salamander,Batrachoseps major,#N/A,,"2,108",0,,3,
Snakes,Vipers,Southwestern Speckled Rattlesnake,Crotalus pyrrhus,#N/A,,"2,084",0,,5,
Flowering Plants,Violets,Hookedspur Violet,Viola adunca,2024-07-17,US-CA,"2,056","1,163",,,
Butterflies,Spread-wing Skippers,Northern White-Skipper,Heliopetes ericetorum,2025-06-15,US-CA,"2,052",150,,,
Butterflies,Blues,Boisduval's Blue,Icaricia icarioides,2023-08-05,US-CA,"2,042",674,,,
Newts & Salamanders,Mole Salamanders,Coastal Giant Salamander,Dicamptodon tenebrosus,#N/A,,"2,040",0,,9,
Nudibranchs,Aegiridae,Salt-and-pepper Doris,Aegires albopunctatus,#N/A,,"2,038",341,6,,
Flowering Plants,Lilies,Chocolate Lily,Fritillaria biflora,2025-03-21,US-CA,"2,037",7,,3,
Flowering Plants,Orchids,Stream Orchid,Epipactis gigantea,#N/A,,"2,029",247,5,,
Sea Stars,Ophionereididae,Banded Brittle Star,Ophionereis annulata,#N/A,,"2,024",0,,3,
Butterflies,Hairstreaks,Lotus Hairstreak,Callophrys dumetorum,2025-04-19,US-CA,"2,019",552,,,
Flowering Plants,Monkeyflowers,Torrey's Monkeyflower,Diplacus torreyi,#N/A,,"2,012",0,,,
Butterflies,Spread-wing Skippers,Funereal Duskywing,Erynnis funeralis,2023-08-04,US-CA,"2,000",102,,,
Nudibranchs,Dendrodorididae,White-speckled Dorid,Doriopsilla fulva,#N/A,,"1,974","1,041",6,,
Nudibranchs,Polyceridae,McDonald's Dorid,Limacia mcdonaldi,#N/A,,"1,965",316,6,,
Flowering Plants,Lilies,Mount Diablo Fairy-Lantern,Calochortus pulchellus,2023-04-23,US-CA,"1,958","1,961",,,
Snakes,Colubrid Snakes,Coachwhip,Masticophis flagellum,2022-04-30,US-TX,"1,952",0,,,
Butterflies,Hairstreaks,Brown Elfin,Callophrys augustinus,2024-05-04,US-CA,"1,922",677,,,
Nudibranchs,Dendronotidae,Branched Dendronotid,Dendronotus venustus,2024-08-22,US-CA,"1,907",536,,,
Butterflies,Spread-wing Skippers,Propertius Duskywing,Erynnis propertius,2023-08-19,US-CA,"1,898",970,,,
Snakes,Colubrid Snakes,North American Racer,Coluber constrictor,2024-06-17,US-CA,"1,894","1,163",,,
Butterflies,Milkweed Butterflies,Queen,Danaus gilippus,2023-11-24,US-CA,"1,877",6,,,
Butterflies,Hairstreaks,Hedgerow Hairstreak,Satyrium saepium,2024-08-03,US-CA,"1,873",349,,,
Butterflies,Whites,Margined White,Pieris marginalis,2025-04-18,US-CA,"1,867","1,482",,,
Snakes,Vipers,Sidewinder,Crotalus cerastes,#N/A,,"1,864",0,,5,
Mammals,Squirrels,Merriam's Chipmunk,Neotamias merriami,2024-06-14,US-CA,"1,859",752,,,
Snakes,Boas,Coastal Rosy Boa,Lichanura orcutti,#N/A,,"1,854",0,,5,
Flowering Plants,Lilies,Plummer's Mariposa Lily,Calochortus plummerae,#N/A,,"1,836",0,,6,Hills near LA
Dragonflies,Skimmers,Common Whitetail,Plathemis lydia,2024-03-16,US-TX,"1,818","1,157",,,
Mammals,Beavers,American Beaver,Castor canadensis,2024-07-16,CA-AB,"1,806",914,,,
Snakes,Colubrid Snakes,Two-striped Garter Snake,Thamnophis hammondii,#N/A,,"1,796",0,,5,Hills near LA
Flowering Plants,Lilies,Clubhair Mariposa Lily,Calochortus clavatus,#N/A,,"1,756",2,,5,
Nudibranchs,Polyceridae,Sorcerer's Dorid,Polycera atra,#N/A,,"1,749",325,10,,
Butterflies,Grass Skippers,Rural Skipper,Ochlodes agricola,2024-05-22,US-CA,"1,745","1,133",,,
Butterflies,Spread-wing Skippers,White Checkered-Skipper,Burnsius albezens,2023-11-25,US-CA,"1,736",0,,,
Nudibranchs,Dironidae,Colorful Dirona,Dirona picta,#N/A,,"1,716",739,6,,
