Category,Subcategory,Name,Scientific name,Life list date,CA obsv (RG 5.5.26),Bay obsv (RG 5.5.26),Peak,Other 1,Other 2,Notes,R1,R1 peak,R2,R2 peak,R3,R3 peak,Star,Marine
Flowers,Monkeyflowers,Bigelow's Monkeyflower,Diplacus bigelovii,2025-05-18,"4,904",0,,,,,SNE,6,,,,,,No
Frogs & Toads,Typical Frogs,Foothill Yellow-legged Frog,Rana boylii,2025-05-26,"4,883","1,549",,,,,,,,,,,,No
Frogs & Toads,Typical Frogs,California Red-legged Frog,Rana draytonii,2023-09-17,"4,882","3,836",,,,,,,,,,,,No
Nudibranchs,Doridina,Noble Dorid,Peltodoris nobilis,2026-03-16,"4,852","2,295",,,,,,,,,,,,Yes
Butterflies,Spread-wing Skippers,Common Checkered-Skipper,Burnsius communis,2023-07-25,"4,813","4,070",,,,,,,,,,,,No
Flowers,Violets,Redwood Violet,Viola sempervirens,2026-04-23,"4,788","3,236",,,,,,,,,,,,No
Nudibranchs,Aglajidae,California Aglaja,Navanax inermis,2025-11-27,4786,8,,,,,,,,,,,,Yes
Lizards,Whiptails & Tegus,Orange-throated Whiptail,Aspidoscelis hyperythrus,#N/A,"2,870",0,5,4,6,,SCo,,,,,,,No
Flowers,Mariposa Lilies,Diogenes' Lantern,Calochortus amabilis,2025-04-19,"4,533","3,541",,,,,,,,,,,,No
Flowers,Mariposa Lilies,Tolmie's Pussy Ears,Calochortus tolmiei,2023-04-29,"4,532","2,662",,,,,,,,,,,,No
Snakes,Colubrid Snakes,Striped Racer,Masticophis lateralis,2024-08-13,"4,527",419,,,,,,,,,,,,No
Snakes,Vipers,Southwestern Speckled Rattlesnake,Crotalus pyrrhus,#N/A,"2,844",0,5,4,6,,SCo,,DMoj,,DSon,,,No
Flowers,Orchids,Fairy-Slipper,Calypso bulbosa,2026-03-14,"4,489","2,807",,,,,,,,,,,,No
Flowers,Monkeyflowers,Wide-throated Yellow Monkeyflower,Diplacus brevipes,#N/A,"2,719",0,5,,,,SCo,,TR,,PR,,,No
Nudibranchs,Doridina,Clown Dorid,Triopha catalinae,2024-09-19,"4,443","2,653",,,,,,,,,,,,Yes
Salamanders,Lungless Salamanders,Southern California Slender Salamander,Batrachoseps major,#N/A,"2,611",0,,,,,,,,,,,,No
Lizards,Phrynosomatid Lizards,Zebra-tailed Lizard,Callisaurus draconoides,2023-05-09,"4,145",0,,,,,SNE,6,,,,,,No
Snakes,Colubrid Snakes,Two-striped Garter Snake,Thamnophis hammondii,#N/A,"2,580",0,,,,Hills near LA,,,,,,,,No
Dragonflies,Darners,Blue-eyed Darner,Rhionaeschna multicolor,2023-08-16,"4,088","2,122",,,,,,,,,,,,No
Flowers,Orchids,White Bog Orchid,Platanthera dilatata,2026-06-13,"4,081",184,,,,,SnFrB,6,SNE,6,,,,No
Nudibranchs,Doridina,Red Sponge Dorid,Rostanga pulchra,2025-05-30,"4,071","1,667",,,,,,,,,,,,Yes
Snakes,Vipers,Sidewinder,Crotalus cerastes,#N/A,"2,487",0,,,,,,,,,,,,No
Mammals,Squirrels,Common Golden-mantled Ground Squirrel,Callospermophilus lateralis,2024-08-06,"4,025",1,,,,,,,,,,,,No
